,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.07432197984177372,,
continuous_metrics,MSE,0.02283810963456876,,
exceedance_metrics,MAE,0.4377853607812753,0.029759281334251125,0.029759281334251125
exceedance_metrics,MSE,0.20152356603618826,0.018856396315394344,0.018856396315394344
exceedance_metrics,Brier,0.20152356603618826,0.018856396315394344,0.018856396315394344
exceedance_metrics,PR_AUC,0.3225072831725991,0.2879805227351457,0.2879805227351457
exceedance_metrics,ROC_AUC,0.6849741060112502,0.861796496903247,0.861796496903247
exceedance_metrics,Precision,0.9954268292682927,0.9954058192955589,0.14978054133138258
exceedance_metrics,Recall,0.22416752488843117,0.22313765877102643,0.2811534500514933
exceedance_metrics,F1,0.3659288316054917,0.3645541222658441,0.1954420713518673
exceedance_metrics,Specificity,0.9999781952974525,0.9999781952974525,0.9662099792855325
