,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.20182757355287512,,
continuous_metrics,MSE,0.04311119115238157,,
exceedance_metrics,MAE,0.3297163188461293,0.1530682684986931,0.1530682684986931
exceedance_metrics,MSE,0.11026436647733315,0.031333563094007116,0.031333563094007116
exceedance_metrics,Brier,0.11026436647733315,0.031333563094007116,0.031333563094007116
exceedance_metrics,PR_AUC,0.0,0.0,0.0
exceedance_metrics,ROC_AUC,,,
exceedance_metrics,Precision,0.0,0.0,0.0
exceedance_metrics,Recall,0.0,0.0,0.0
exceedance_metrics,F1,0.0,0.0,0.0
exceedance_metrics,Specificity,1.0,1.0,1.0
