station_id,1,6,24,168,720
8399,ConformalEnsemble,EnsembleClassifier,EnsembleClassifier,EnsembleClassifier,Persistence
8400,Persistence,ConformalEnsemble,EnsembleClassifier,Persistence,Persistence
8404,ConformalEnsemble,EnsembleClassifier,ConformalEnsemble,EnsembleClassifier,EnsembleClassifier
8405,Persistence,Persistence,Persistence,Persistence,Persistence
8406,ConformalEnsemble,ConformalEnsemble,ConformalEnsemble,EnsembleClassifier,Persistence
8407,EnsembleClassifier,ConformalEnsemble,EnsembleClassifier,ConformalEnsemble,Persistence
8408,Persistence,EnsembleClassifier,EnsembleClassifier,EnsembleClassifier,EnsembleClassifier
8409,EnsembleClassifier,EnsembleClassifier,Persistence,Persistence,EnsembleClassifier
8410,Persistence,EnsembleClassifier,Persistence,ConformalEnsemble,Persistence
8411,Persistence,ConformalEnsemble,EnsembleClassifier,EnsembleClassifier,EnsembleClassifier
8903,EnsembleClassifier,EnsembleClassifier,Persistence,ConformalEnsemble,EnsembleClassifier
8905,ConformalEnsemble,Persistence,ConformalEnsemble,EnsembleClassifier,EnsembleClassifier
9575,EnsembleClassifier,EnsembleClassifier,EnsembleClassifier,EnsembleClassifier,EnsembleClassifier
9576,EnsembleClassifier,EnsembleClassifier,EnsembleClassifier,EnsembleClassifier,EnsembleClassifier
9577,EnsembleClassifier,ConformalEnsemble,ConformalEnsemble,Persistence,Persistence
9578,Persistence,Persistence,Persistence,Persistence,Persistence
9579,Persistence,Persistence,Persistence,EnsembleClassifier,Persistence
9580,Persistence,Persistence,EnsembleClassifier,Persistence,Persistence
9581,EnsembleClassifier,ConformalEnsemble,EnsembleClassifier,EnsembleClassifier,Persistence
